2021-09-19 02:54:28,115 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3,4', did='d1', grain_alpha='20', grain_p='20', method='brute', percent_R='0.25', percent_S='0.25', rev=False, seed='32', sw=True, version='v09190254')
2021-09-19 02:54:28,129 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-19 02:54:28,759 - INFO - Finish generate valuations and costs using using a=2
2021-09-19 02:54:29,035 - INFO - load: budget=1; scheme=(0.1,0.010000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,035 - INFO - load: budget=1; scheme=(0.1,0.015000000000000003); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.020000000000000004); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.025); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.030000000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.035); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.04000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.045000000000000005); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.05); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,036 - INFO - load: budget=1; scheme=(0.1,0.05500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,037 - INFO - load: budget=1; scheme=(0.1,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,037 - INFO - load: budget=1; scheme=(0.1,0.065); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,039 - INFO - load: budget=1; scheme=(0.1,0.07); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,039 - INFO - load: budget=1; scheme=(0.1,0.07500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,039 - INFO - load: budget=1; scheme=(0.1,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,040 - INFO - load: budget=1; scheme=(0.1,0.08500000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,040 - INFO - load: budget=1; scheme=(0.1,0.09000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,040 - INFO - load: budget=1; scheme=(0.1,0.09500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,040 - INFO - load: budget=1; scheme=(0.1,0.1); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,040 - INFO - load: budget=1; scheme=(0.15000000000000002,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,041 - INFO - load: budget=1; scheme=(0.15000000000000002,0.0075000000000000015); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,041 - INFO - load: budget=1; scheme=(0.15000000000000002,0.015000000000000003); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,041 - INFO - load: budget=1; scheme=(0.15000000000000002,0.022500000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,041 - INFO - load: budget=1; scheme=(0.15000000000000002,0.030000000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,041 - INFO - load: budget=1; scheme=(0.15000000000000002,0.037500000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,042 - INFO - load: budget=1; scheme=(0.15000000000000002,0.04500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,042 - INFO - load: budget=1; scheme=(0.15000000000000002,0.05250000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,042 - INFO - load: budget=1; scheme=(0.15000000000000002,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,042 - INFO - load: budget=1; scheme=(0.15000000000000002,0.06750000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,042 - INFO - load: budget=1; scheme=(0.15000000000000002,0.07500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,043 - INFO - load: budget=1; scheme=(0.15000000000000002,0.08250000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,043 - INFO - load: budget=1; scheme=(0.15000000000000002,0.09000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,043 - INFO - load: budget=1; scheme=(0.15000000000000002,0.09750000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,047 - INFO - compute: budget=1; scheme=(0.15000000000000002,0.10500000000000002); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=13.74935495867769
2021-09-19 02:54:29,050 - INFO - load: budget=1; scheme=(0.15000000000000002,0.11250000000000002); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=11.457795798898077
2021-09-19 02:54:29,052 - INFO - load: budget=1; scheme=(0.15000000000000002,0.12000000000000002); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=9.16623663911846
2021-09-19 02:54:29,059 - INFO - compute: budget=1; scheme=(0.15000000000000002,0.12750000000000003); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=7.589635330578508
2021-09-19 02:54:29,061 - INFO - load: budget=1; scheme=(0.15000000000000002,0.13500000000000004); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=5.059756887052336
2021-09-19 02:54:29,063 - INFO - load: budget=1; scheme=(0.15000000000000002,0.14250000000000004); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=2.529878443526163
2021-09-19 02:54:29,064 - INFO - load: budget=1; scheme=(0.15000000000000002,0.15000000000000002); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=0.0
2021-09-19 02:54:29,064 - INFO - load: budget=1; scheme=(0.2,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.010000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.020000000000000004); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.030000000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.04000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.05); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,065 - INFO - load: budget=1; scheme=(0.2,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,066 - INFO - load: budget=1; scheme=(0.2,0.07); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,066 - INFO - load: budget=1; scheme=(0.2,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,066 - INFO - load: budget=1; scheme=(0.2,0.09000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,066 - INFO - load: budget=1; scheme=(0.2,0.1); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,068 - INFO - load: budget=1; scheme=(0.2,0.11000000000000001); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=27.49870991735538
2021-09-19 02:54:29,071 - INFO - load: budget=1; scheme=(0.2,0.12000000000000002); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=24.443297704315892
2021-09-19 02:54:29,073 - INFO - load: budget=1; scheme=(0.2,0.13); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=23.61219880624426
2021-09-19 02:54:29,075 - INFO - load: budget=1; scheme=(0.2,0.14); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=20.23902754820936
2021-09-19 02:54:29,077 - INFO - load: budget=1; scheme=(0.2,0.15000000000000002); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=16.865856290174467
2021-09-19 02:54:29,079 - INFO - load: budget=1; scheme=(0.2,0.16000000000000003); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=13.492685032139569
2021-09-19 02:54:29,082 - INFO - load: budget=1; scheme=(0.2,0.17000000000000004); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=10.119513774104671
2021-09-19 02:54:29,093 - INFO - compute: budget=1; scheme=(0.2,0.18000000000000002); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=8.093403122130391
2021-09-19 02:54:29,095 - INFO - load: budget=1; scheme=(0.2,0.19000000000000003); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=4.04670156106519
2021-09-19 02:54:29,097 - INFO - load: budget=1; scheme=(0.2,0.2); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.0); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.0125); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.025); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.037500000000000006); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.05); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.0625); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.07500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,098 - INFO - load: budget=1; scheme=(0.25,0.08750000000000001); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,099 - INFO - load: budget=1; scheme=(0.25,0.1); tilderR=(55) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,100 - INFO - load: budget=1; scheme=(0.25,0.1125); tilderR=(55) tilderS=(1); result=({168}, 305.5412213039487); rev=42.01191792929295
2021-09-19 02:54:29,102 - INFO - load: budget=1; scheme=(0.25,0.125); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=42.16464072543617
2021-09-19 02:54:29,103 - INFO - load: budget=1; scheme=(0.25,0.1375); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=37.94817665289255
2021-09-19 02:54:29,105 - INFO - load: budget=1; scheme=(0.25,0.15000000000000002); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=33.73171258034893
2021-09-19 02:54:29,107 - INFO - load: budget=1; scheme=(0.25,0.1625); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=29.515248507805318
2021-09-19 02:54:29,109 - INFO - load: budget=1; scheme=(0.25,0.17500000000000002); tilderR=(55) tilderS=(2); result=((125,), 337.3171258034894); rev=25.298784435261698
2021-09-19 02:54:29,111 - INFO - load: budget=1; scheme=(0.25,0.1875); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=25.29188475665749
2021-09-19 02:54:29,114 - INFO - load: budget=1; scheme=(0.25,0.2); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=20.233507805325985
2021-09-19 02:54:29,116 - INFO - load: budget=1; scheme=(0.25,0.21250000000000002); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=15.175130853994483
2021-09-19 02:54:29,118 - INFO - load: budget=1; scheme=(0.25,0.225); tilderR=(55) tilderS=(3); result=((46,), 404.6701561065198); rev=10.116753902662992
2021-09-19 02:54:29,129 - INFO - compute: budget=1; scheme=(0.25,0.23750000000000002); tilderR=(55) tilderS=(4); result=((46,), 404.6701561065198); rev=5.058376951331491
2021-09-19 02:54:29,142 - INFO - compute: budget=1; scheme=(0.25,0.25); tilderR=(55) tilderS=(5); result=((46,), 404.6701561065198); rev=0.0
2021-09-19 02:54:29,146 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.0); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,149 - INFO - load: budget=1; scheme=(0.30000000000000004,0.015000000000000003); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,152 - INFO - load: budget=1; scheme=(0.30000000000000004,0.030000000000000006); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,155 - INFO - load: budget=1; scheme=(0.30000000000000004,0.04500000000000001); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,158 - INFO - load: budget=1; scheme=(0.30000000000000004,0.06000000000000001); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,161 - INFO - load: budget=1; scheme=(0.30000000000000004,0.07500000000000001); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,163 - INFO - load: budget=1; scheme=(0.30000000000000004,0.09000000000000002); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,168 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.10500000000000002); tilderR=(54) tilderS=(1); result=({168}, 298.8494674012857); rev=58.27564614325072
2021-09-19 02:54:29,172 - INFO - load: budget=1; scheme=(0.30000000000000004,0.12000000000000002); tilderR=(54) tilderS=(1); result=({168}, 298.8494674012857); rev=53.792904132231435
2021-09-19 02:54:29,179 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.13500000000000004); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=54.55318636363636
2021-09-19 02:54:29,182 - INFO - load: budget=1; scheme=(0.30000000000000004,0.15000000000000002); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=49.59380578512397
2021-09-19 02:54:29,185 - INFO - load: budget=1; scheme=(0.30000000000000004,0.16500000000000004); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=44.63442520661157
2021-09-19 02:54:29,195 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=47.7923217630854
2021-09-19 02:54:29,198 - INFO - load: budget=1; scheme=(0.30000000000000004,0.19500000000000003); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=41.81828154269973
2021-09-19 02:54:29,201 - INFO - load: budget=1; scheme=(0.30000000000000004,0.21000000000000005); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=35.84424132231405
2021-09-19 02:54:29,204 - INFO - load: budget=1; scheme=(0.30000000000000004,0.22500000000000003); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=29.87020110192838
2021-09-19 02:54:29,218 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(54) tilderS=(5); result=((46,), 398.2693480257117); rev=23.8961608815427
2021-09-19 02:54:29,221 - INFO - load: budget=1; scheme=(0.30000000000000004,0.25500000000000006); tilderR=(54) tilderS=(5); result=((46,), 398.2693480257117); rev=17.92212066115702
2021-09-19 02:54:29,237 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.2700000000000001); tilderR=(54) tilderS=(6); result=((46,), 398.2693480257117); rev=11.948080440771339
2021-09-19 02:54:29,240 - INFO - load: budget=1; scheme=(0.30000000000000004,0.2850000000000001); tilderR=(54) tilderS=(6); result=((46,), 398.2693480257117); rev=5.974040220385659
2021-09-19 02:54:29,260 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(54) tilderS=(8); result=((46,), 398.2693480257117); rev=0.0
2021-09-19 02:54:29,263 - INFO - load: budget=1; scheme=(0.35000000000000003,0.0); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,265 - INFO - load: budget=1; scheme=(0.35000000000000003,0.0175); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,268 - INFO - load: budget=1; scheme=(0.35000000000000003,0.035); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,271 - INFO - load: budget=1; scheme=(0.35000000000000003,0.05250000000000001); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,274 - INFO - load: budget=1; scheme=(0.35000000000000003,0.07); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,277 - INFO - load: budget=1; scheme=(0.35000000000000003,0.08750000000000001); tilderR=(54) tilderS=(0); result=(set(), 0.0); rev=0.0
2021-09-19 02:54:29,280 - INFO - load: budget=1; scheme=(0.35000000000000003,0.10500000000000002); tilderR=(54) tilderS=(1); result=({168}, 298.8494674012857); rev=73.218119513315
2021-09-19 02:54:29,282 - INFO - load: budget=1; scheme=(0.35000000000000003,0.12250000000000003); tilderR=(54) tilderS=(1); result=({168}, 298.8494674012857); rev=67.9882538337925
2021-09-19 02:54:29,285 - INFO - load: budget=1; scheme=(0.35000000000000003,0.14); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=69.43132809917356
2021-09-19 02:54:29,288 - INFO - load: budget=1; scheme=(0.35000000000000003,0.15750000000000003); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=63.64538409090908
2021-09-19 02:54:29,292 - INFO - load: budget=1; scheme=(0.35000000000000003,0.17500000000000002); tilderR=(54) tilderS=(2); result=((125,), 330.6253719008264); rev=57.859440082644625
2021-09-19 02:54:29,295 - INFO - load: budget=1; scheme=(0.35000000000000003,0.19250000000000003); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=62.72742231404959
2021-09-19 02:54:29,298 - INFO - load: budget=1; scheme=(0.35000000000000003,0.21000000000000005); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=55.75770872359963
2021-09-19 02:54:29,301 - INFO - load: budget=1; scheme=(0.35000000000000003,0.22750000000000004); tilderR=(54) tilderS=(3); result=((46,), 398.2693480257117); rev=48.78799513314968
2021-09-19 02:54:29,304 - INFO - load: budget=1; scheme=(0.35000000000000003,0.24500000000000005); tilderR=(54) tilderS=(5); result=((46,), 398.2693480257117); rev=41.81828154269972
