2021-09-17 02:34:17,807 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170234')
2021-09-17 02:34:17,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:34:18,866 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:34:19,996 - INFO - compute: budget=1; scheme=(0.8,0.4800000000000001); tilderR=(3) tilderS=(32); result=((150,), 31); rev=9.919999999999998
2021-09-17 02:34:20,003 - INFO - compute: budget=1; scheme=(0.8,0.6400000000000001); tilderR=(3) tilderS=(48); result=((150,), 31); rev=4.959999999999997
2021-09-17 02:34:20,011 - INFO - compute: budget=1; scheme=(0.8,0.8); tilderR=(3) tilderS=(54); result=((150,), 31); rev=0.0
2021-09-17 02:34:20,012 - INFO - compute: budget=1; scheme=(0.9,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,014 - INFO - compute: budget=1; scheme=(0.9,0.18000000000000002); tilderR=(0) tilderS=(3); result=((168,), 0); rev=0.0
2021-09-17 02:34:20,015 - INFO - compute: budget=1; scheme=(0.9,0.36000000000000004); tilderR=(0) tilderS=(14); result=((169,), 0); rev=0.0
2021-09-17 02:34:20,017 - INFO - compute: budget=1; scheme=(0.9,0.5400000000000001); tilderR=(0) tilderS=(38); result=((214,), 0); rev=0.0
2021-09-17 02:34:20,018 - INFO - compute: budget=1; scheme=(0.9,0.7200000000000001); tilderR=(0) tilderS=(53); result=((214,), 0); rev=0.0
2021-09-17 02:34:20,020 - INFO - compute: budget=1; scheme=(0.9,0.9); tilderR=(0) tilderS=(54); result=((214,), 0); rev=0.0
2021-09-17 02:34:20,021 - INFO - load: budget=1; scheme=(1.0,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,022 - INFO - load: budget=1; scheme=(1.0,0.2); tilderR=(0) tilderS=(3); result=((168,), 0); rev=0.0
2021-09-17 02:34:20,024 - INFO - compute: budget=1; scheme=(1.0,0.4); tilderR=(0) tilderS=(19); result=((169,), 0); rev=0.0
