2021-09-18 03:10:37,750 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180310')
2021-09-18 03:10:37,947 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 03:10:39,149 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 03:10:43,423 - INFO - compute: budget=1; scheme=(0.4,0.2); tilderR=(161) tilderS=(10); result=((301,), 24256); rev=4851.2
2021-09-18 03:10:43,425 - INFO - load: budget=1; scheme=(0.4,0.24000000000000005); tilderR=(161) tilderS=(13); result=((301,), 24256); rev=3880.9599999999996
2021-09-18 03:10:44,001 - INFO - compute: budget=1; scheme=(0.4,0.28); tilderR=(161) tilderS=(25); result=((301,), 24256); rev=2910.72
2021-09-18 03:10:44,003 - INFO - load: budget=1; scheme=(0.4,0.32000000000000006); tilderR=(161) tilderS=(32); result=((301,), 24256); rev=1940.479999999999
2021-09-18 03:10:45,019 - INFO - compute: budget=1; scheme=(0.4,0.36000000000000004); tilderR=(161) tilderS=(45); result=((301,), 24256); rev=970.2399999999996
2021-09-18 03:10:45,021 - INFO - load: budget=1; scheme=(0.4,0.4); tilderR=(161) tilderS=(60); result=((301,), 24256); rev=0.0
2021-09-18 03:10:45,038 - INFO - compute: budget=1; scheme=(0.5,0.0); tilderR=(109) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:45,082 - INFO - compute: budget=1; scheme=(0.5,0.05); tilderR=(109) tilderS=(2); result=((301,), 12310); rev=5539.5
2021-09-18 03:10:45,141 - INFO - compute: budget=1; scheme=(0.5,0.1); tilderR=(109) tilderS=(3); result=((301,), 12310); rev=4924.0
2021-09-18 03:10:45,263 - INFO - compute: budget=1; scheme=(0.5,0.15000000000000002); tilderR=(109) tilderS=(7); result=((301,), 12310); rev=4308.5
2021-09-18 03:10:45,432 - INFO - compute: budget=1; scheme=(0.5,0.2); tilderR=(109) tilderS=(10); result=((301,), 12310); rev=3693.0
2021-09-18 03:10:45,709 - INFO - compute: budget=1; scheme=(0.5,0.25); tilderR=(109) tilderS=(17); result=((301,), 12310); rev=3077.5
