2021-09-18 02:16:59,673 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='4', did='d1', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180216')
2021-09-18 02:16:59,687 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-18 02:17:00,273 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 02:17:00,768 - INFO - load: budget=4; scheme=(0.30000000000000004,0.15000000000000002); tilderR=(54) tilderS=(2); result=({168, 125}, 1055); rev=158.25000000000003
2021-09-18 02:17:00,770 - INFO - load: budget=4; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(54) tilderS=(3); result=({168, 125, 46}, 1714); rev=205.67999999999998
2021-09-18 02:17:00,771 - INFO - load: budget=4; scheme=(0.30000000000000004,0.21000000000000005); tilderR=(54) tilderS=(3); result=({168, 125, 46}, 1714); rev=154.26
2021-09-18 02:17:00,772 - INFO - load: budget=4; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(54) tilderS=(5); result=((168, 46, 149, 23), 2156); rev=129.35999999999999
2021-09-18 02:17:00,772 - INFO - load: budget=4; scheme=(0.30000000000000004,0.2700000000000001); tilderR=(54) tilderS=(6); result=((46, 49, 149, 125), 2373); rev=71.18999999999993
2021-09-18 02:17:00,773 - INFO - load: budget=4; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(54) tilderS=(8); result=((46, 49, 125, 149), 2373); rev=0.0
2021-09-18 02:17:00,774 - INFO - load: budget=4; scheme=(0.4,0.0); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,775 - INFO - load: budget=4; scheme=(0.4,0.04000000000000001); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,776 - INFO - load: budget=4; scheme=(0.4,0.08000000000000002); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,777 - INFO - load: budget=4; scheme=(0.4,0.12000000000000002); tilderR=(49) tilderS=(1); result=({168}, 506); rev=141.68
2021-09-18 02:17:00,778 - INFO - load: budget=4; scheme=(0.4,0.16000000000000003); tilderR=(49) tilderS=(2); result=({168, 125}, 898); rev=215.51999999999998
2021-09-18 02:17:00,779 - INFO - load: budget=4; scheme=(0.4,0.2); tilderR=(49) tilderS=(3); result=({168, 125, 46}, 1463); rev=292.6
2021-09-18 02:17:00,780 - INFO - load: budget=4; scheme=(0.4,0.24000000000000005); tilderR=(49) tilderS=(5); result=((168, 46, 149, 23), 1831); rev=292.96
2021-09-18 02:17:00,781 - INFO - load: budget=4; scheme=(0.4,0.28); tilderR=(49) tilderS=(6); result=((46, 49, 149, 125), 2038); rev=244.56
2021-09-18 02:17:00,782 - INFO - load: budget=4; scheme=(0.4,0.32000000000000006); tilderR=(49) tilderS=(10); result=((46, 49, 149, 125), 2038); rev=163.0399999999999
2021-09-18 02:17:00,783 - INFO - load: budget=4; scheme=(0.4,0.36000000000000004); tilderR=(49) tilderS=(14); result=((1, 46, 49, 149), 2170); rev=86.79999999999995
2021-09-18 02:17:00,785 - INFO - load: budget=4; scheme=(0.4,0.4); tilderR=(49) tilderS=(19); result=((1, 49, 149, 150), 2423); rev=0.0
2021-09-18 02:17:00,786 - INFO - load: budget=4; scheme=(0.5,0.0); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,787 - INFO - load: budget=4; scheme=(0.5,0.05); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,788 - INFO - load: budget=4; scheme=(0.5,0.1); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,790 - INFO - load: budget=4; scheme=(0.5,0.15000000000000002); tilderR=(35) tilderS=(2); result=({168, 125}, 485); rev=169.75
2021-09-18 02:17:00,791 - INFO - load: budget=4; scheme=(0.5,0.2); tilderR=(35) tilderS=(3); result=({168, 125, 46}, 839); rev=251.7
2021-09-18 02:17:00,792 - INFO - load: budget=4; scheme=(0.5,0.25); tilderR=(35) tilderS=(5); result=((46, 149, 23, 125), 1107); rev=276.75
2021-09-18 02:17:00,794 - INFO - load: budget=4; scheme=(0.5,0.30000000000000004); tilderR=(35) tilderS=(8); result=((46, 47, 49, 149), 1253); rev=250.59999999999994
2021-09-18 02:17:00,795 - INFO - load: budget=4; scheme=(0.5,0.35000000000000003); tilderR=(35) tilderS=(14); result=((1, 46, 49, 149), 1384); rev=207.59999999999997
2021-09-18 02:17:00,796 - INFO - load: budget=4; scheme=(0.5,0.4); tilderR=(35) tilderS=(19); result=((1, 49, 149, 150), 1535); rev=153.49999999999997
2021-09-18 02:17:00,798 - INFO - load: budget=4; scheme=(0.5,0.45); tilderR=(35) tilderS=(27); result=((1, 149, 150, 49), 1535); rev=76.74999999999999
2021-09-18 02:17:00,799 - INFO - load: budget=4; scheme=(0.5,0.5); tilderR=(35) tilderS=(38); result=((1, 150, 149, 49), 1535); rev=0.0
2021-09-18 02:17:00,800 - INFO - load: budget=4; scheme=(0.6000000000000001,0.0); tilderR=(21) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,802 - INFO - load: budget=4; scheme=(0.6000000000000001,0.06000000000000001); tilderR=(21) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,803 - INFO - load: budget=4; scheme=(0.6000000000000001,0.12000000000000002); tilderR=(21) tilderS=(1); result=({168}, 101); rev=48.48000000000001
2021-09-18 02:17:00,805 - INFO - load: budget=4; scheme=(0.6000000000000001,0.18000000000000005); tilderR=(21) tilderS=(3); result=({168, 125, 46}, 384); rev=161.28000000000003
2021-09-18 02:17:00,807 - INFO - load: budget=4; scheme=(0.6000000000000001,0.24000000000000005); tilderR=(21) tilderS=(5); result=((46, 149, 23, 125), 523); rev=188.28000000000003
2021-09-18 02:17:00,808 - INFO - load: budget=4; scheme=(0.6000000000000001,0.30000000000000004); tilderR=(21) tilderS=(8); result=((46, 47, 49, 149), 603); rev=180.90000000000003
2021-09-18 02:17:00,810 - INFO - load: budget=4; scheme=(0.6000000000000001,0.3600000000000001); tilderR=(21) tilderS=(14); result=((1, 46, 49, 149), 683); rev=163.92
2021-09-18 02:17:00,811 - INFO - load: budget=4; scheme=(0.6000000000000001,0.4200000000000001); tilderR=(21) tilderS=(24); result=((1, 150, 49, 65), 810); rev=145.79999999999998
2021-09-18 02:17:00,813 - INFO - load: budget=4; scheme=(0.6000000000000001,0.4800000000000001); tilderR=(21) tilderS=(32); result=((1, 150, 49, 65), 810); rev=97.2
2021-09-18 02:17:00,815 - INFO - load: budget=4; scheme=(0.6000000000000001,0.5400000000000001); tilderR=(21) tilderS=(38); result=((1, 150, 49, 205), 815); rev=48.899999999999956
2021-09-18 02:17:00,816 - INFO - load: budget=4; scheme=(0.6000000000000001,0.6000000000000001); tilderR=(21) tilderS=(46); result=((1, 150, 49, 205), 815); rev=0.0
2021-09-18 02:17:00,818 - INFO - load: budget=4; scheme=(0.7000000000000001,0.0); tilderR=(8) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,820 - INFO - load: budget=4; scheme=(0.7000000000000001,0.07); tilderR=(8) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,822 - INFO - load: budget=4; scheme=(0.7000000000000001,0.14); tilderR=(8) tilderS=(2); result=({168, 125}, 31); rev=17.360000000000003
2021-09-18 02:17:00,824 - INFO - load: budget=4; scheme=(0.7000000000000001,0.21000000000000005); tilderR=(8) tilderS=(3); result=({168, 125, 46}, 76); rev=37.24
2021-09-18 02:17:00,825 - INFO - load: budget=4; scheme=(0.7000000000000001,0.28); tilderR=(8) tilderS=(6); result=((46, 49, 23, 125), 145); rev=60.900000000000006
2021-09-18 02:17:00,827 - INFO - load: budget=4; scheme=(0.7000000000000001,0.35000000000000003); tilderR=(8) tilderS=(14); result=((1, 132, 46, 49), 210); rev=73.5
2021-09-18 02:17:00,830 - INFO - load: budget=4; scheme=(0.7000000000000001,0.4200000000000001); tilderR=(8) tilderS=(24); result=((1, 150, 156, 49), 249); rev=69.72
2021-09-18 02:17:00,831 - INFO - load: budget=4; scheme=(0.7000000000000001,0.4900000000000001); tilderR=(8) tilderS=(36); result=((1, 150, 49, 205), 272); rev=57.11999999999999
2021-09-18 02:17:00,833 - INFO - load: budget=4; scheme=(0.7000000000000001,0.56); tilderR=(8) tilderS=(39); result=((1, 150, 49, 205), 272); rev=38.080000000000005
2021-09-18 02:17:00,835 - INFO - load: budget=4; scheme=(0.7000000000000001,0.6300000000000001); tilderR=(8) tilderS=(48); result=((1, 150, 49, 205), 272); rev=19.039999999999985
2021-09-18 02:17:00,837 - INFO - load: budget=4; scheme=(0.7000000000000001,0.7000000000000001); tilderR=(8) tilderS=(53); result=((1, 150, 49, 205), 272); rev=0.0
2021-09-18 02:17:00,839 - INFO - load: budget=4; scheme=(0.8,0.0); tilderR=(3) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,841 - INFO - load: budget=4; scheme=(0.8,0.08000000000000002); tilderR=(3) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,843 - INFO - load: budget=4; scheme=(0.8,0.16000000000000003); tilderR=(3) tilderS=(2); result=({168, 125}, 12); rev=7.68
2021-09-18 02:17:00,845 - INFO - load: budget=4; scheme=(0.8,0.24000000000000005); tilderR=(3) tilderS=(5); result=((46, 149, 23, 125), 43); rev=24.080000000000002
2021-09-18 02:17:00,847 - INFO - load: budget=4; scheme=(0.8,0.32000000000000006); tilderR=(3) tilderS=(10); result=((46, 47, 149, 125), 52); rev=24.96
2021-09-18 02:17:00,849 - INFO - load: budget=4; scheme=(0.8,0.4); tilderR=(3) tilderS=(19); result=((1, 65, 47, 150), 80); rev=32.0
2021-09-18 02:17:00,851 - INFO - load: budget=4; scheme=(0.8,0.4800000000000001); tilderR=(3) tilderS=(32); result=((17, 150, 156, 47), 83); rev=26.559999999999995
2021-09-18 02:17:00,854 - INFO - load: budget=4; scheme=(0.8,0.56); tilderR=(3) tilderS=(39); result=((17, 150, 65, 205), 89); rev=21.36
2021-09-18 02:17:00,856 - INFO - load: budget=4; scheme=(0.8,0.6400000000000001); tilderR=(3) tilderS=(48); result=((150, 33, 65, 109), 91); rev=14.559999999999993
2021-09-18 02:17:00,858 - INFO - load: budget=4; scheme=(0.8,0.7200000000000001); tilderR=(3) tilderS=(53); result=((150, 33, 65, 109), 91); rev=7.279999999999997
2021-09-18 02:17:00,860 - INFO - load: budget=4; scheme=(0.8,0.8); tilderR=(3) tilderS=(54); result=((150, 33, 65, 109), 91); rev=0.0
2021-09-18 02:17:00,863 - INFO - load: budget=4; scheme=(0.9,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,865 - INFO - load: budget=4; scheme=(0.9,0.09000000000000001); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,867 - INFO - load: budget=4; scheme=(0.9,0.18000000000000002); tilderR=(0) tilderS=(3); result=({168, 125, 46}, 0); rev=0.0
2021-09-18 02:17:00,869 - INFO - load: budget=4; scheme=(0.9,0.2700000000000001); tilderR=(0) tilderS=(6); result=((168, 149, 23, 125), 0); rev=0.0
2021-09-18 02:17:00,871 - INFO - load: budget=4; scheme=(0.9,0.36000000000000004); tilderR=(0) tilderS=(14); result=((169, 149, 125, 62), 0); rev=0.0
2021-09-18 02:17:00,874 - INFO - load: budget=4; scheme=(0.9,0.45); tilderR=(0) tilderS=(27); result=((189, 66, 214, 125), 0); rev=0.0
2021-09-18 02:17:00,876 - INFO - load: budget=4; scheme=(0.9,0.5400000000000001); tilderR=(0) tilderS=(38); result=((213, 214, 92, 125), 0); rev=0.0
2021-09-18 02:17:00,878 - INFO - load: budget=4; scheme=(0.9,0.6300000000000001); tilderR=(0) tilderS=(48); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,880 - INFO - load: budget=4; scheme=(0.9,0.7200000000000001); tilderR=(0) tilderS=(53); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,883 - INFO - load: budget=4; scheme=(0.9,0.81); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,885 - INFO - load: budget=4; scheme=(0.9,0.9); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,887 - INFO - load: budget=4; scheme=(1.0,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,892 - INFO - load: budget=4; scheme=(1.0,0.1); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:17:00,896 - INFO - load: budget=4; scheme=(1.0,0.2); tilderR=(0) tilderS=(3); result=({168, 125, 46}, 0); rev=0.0
2021-09-18 02:17:00,901 - INFO - load: budget=4; scheme=(1.0,0.30000000000000004); tilderR=(0) tilderS=(8); result=((168, 149, 23, 61), 0); rev=0.0
2021-09-18 02:17:00,905 - INFO - load: budget=4; scheme=(1.0,0.4); tilderR=(0) tilderS=(19); result=((169, 156, 125, 62), 0); rev=0.0
2021-09-18 02:17:00,909 - INFO - load: budget=4; scheme=(1.0,0.5); tilderR=(0) tilderS=(38); result=((213, 214, 92, 125), 0); rev=0.0
2021-09-18 02:17:00,912 - INFO - load: budget=4; scheme=(1.0,0.6000000000000001); tilderR=(0) tilderS=(46); result=((214, 102, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,914 - INFO - load: budget=4; scheme=(1.0,0.7000000000000001); tilderR=(0) tilderS=(53); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,917 - INFO - load: budget=4; scheme=(1.0,0.8); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,920 - INFO - load: budget=4; scheme=(1.0,0.9); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-18 02:17:00,923 - INFO - load: budget=4; scheme=(1.0,1.0); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
