2021-09-18 02:51:06,021 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='5', grain_p='5', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180251')
2021-09-18 02:51:06,221 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 02:51:07,472 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 02:51:41,888 - INFO - compute: budget=2; scheme=(0.4,0.32000000000000006); tilderR=(161) tilderS=(32); result=((301, 104), 37007); rev=2960.5599999999986
2021-09-18 02:52:40,860 - INFO - compute: budget=2; scheme=(0.4,0.4); tilderR=(161) tilderS=(60); result=((301, 104), 37007); rev=0.0
2021-09-18 02:52:40,867 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.0); tilderR=(58) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:52:40,912 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.12000000000000002); tilderR=(58) tilderS=(3); result=((301, 677), 4480); rev=2150.4000000000005
2021-09-18 02:52:41,912 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.24000000000000005); tilderR=(58) tilderS=(13); result=((301, 63), 7477); rev=2691.7200000000003
2021-09-18 02:52:55,259 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.3600000000000001); tilderR=(58) tilderS=(45); result=((301, 104), 8572); rev=2057.2799999999997
2021-09-18 02:53:53,758 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.4800000000000001); tilderR=(58) tilderS=(94); result=((104, 301), 8572); rev=1028.6399999999999
2021-09-18 02:56:28,474 - INFO - compute: budget=2; scheme=(0.6000000000000001,0.6000000000000001); tilderR=(58) tilderS=(150); result=((104, 301), 8572); rev=0.0
2021-09-18 02:56:28,478 - INFO - compute: budget=2; scheme=(0.8,0.0); tilderR=(13) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:56:28,565 - INFO - compute: budget=2; scheme=(0.8,0.16000000000000003); tilderR=(13) tilderS=(8); result=((677, 63), 919); rev=588.16
2021-09-18 02:56:30,067 - INFO - compute: budget=2; scheme=(0.8,0.32000000000000006); tilderR=(13) tilderS=(32); result=((63, 104), 1491); rev=715.68
2021-09-18 02:56:42,513 - INFO - compute: budget=2; scheme=(0.8,0.4800000000000001); tilderR=(13) tilderS=(94); result=((63, 104), 1491); rev=477.11999999999995
2021-09-18 02:57:34,045 - INFO - compute: budget=2; scheme=(0.8,0.6400000000000001); tilderR=(13) tilderS=(189); result=((63, 104), 1491); rev=238.5599999999999
2021-09-18 02:59:37,166 - INFO - compute: budget=2; scheme=(0.8,0.8); tilderR=(13) tilderS=(306); result=((63, 104), 1491); rev=0.0
2021-09-18 02:59:37,169 - INFO - compute: budget=2; scheme=(1.0,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:59:37,173 - INFO - compute: budget=2; scheme=(1.0,0.2); tilderR=(0) tilderS=(10); result=((984, 828), 0); rev=0.0
2021-09-18 02:59:37,179 - INFO - compute: budget=2; scheme=(1.0,0.4); tilderR=(0) tilderS=(60); result=((1190, 1079), 0); rev=0.0
2021-09-18 02:59:37,196 - INFO - compute: budget=2; scheme=(1.0,0.6000000000000001); tilderR=(0) tilderS=(150); result=((1215, 1023), 0); rev=0.0
2021-09-18 02:59:37,272 - INFO - compute: budget=2; scheme=(1.0,0.8); tilderR=(0) tilderS=(306); result=((1215, 1023), 0); rev=0.0
2021-09-18 02:59:37,276 - INFO - load: budget=2; scheme=(1.0,1.0); tilderR=(0) tilderS=(306); result=((1215, 1023), 0); rev=0.0
