2021-09-25 16:16:15,809 - INFO - run algo
2021-09-25 16:16:15,820 - INFO - 217
2021-09-25 16:16:15,821 - INFO - 217
2021-09-25 16:16:15,826 - INFO - load:
2021-09-25 16:16:15,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-25 16:16:16,388 - INFO - Finish generate valuations and costs using using gamma=2.0
2021-09-25 16:16:16,780 - INFO - load | 2 | (0.6000000000000001,0.4800000000000001) | 21 | 32 | (1, 150) | 498| 59.76 | 498 
2021-09-25 16:16:16,781 - INFO - load | 2 | (0.6000000000000001,0.6000000000000001) | 21 | 46 | (1, 150) | 498| 0.0 | 498 
2021-09-25 16:16:16,781 - INFO - load | 2 | (0.8,0.0) | 3 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,782 - INFO - load | 2 | (0.8,0.16000000000000003) | 3 | 2 | {168, 125} | 12| 7.68 | 12 
2021-09-25 16:16:16,783 - INFO - load | 2 | (0.8,0.32000000000000006) | 3 | 10 | (46, 62) | 33| 15.84 | 33 
2021-09-25 16:16:16,783 - INFO - load | 2 | (0.8,0.4800000000000001) | 3 | 32 | (150, 65) | 50| 15.999999999999998 | 50 
2021-09-25 16:16:16,784 - INFO - load | 2 | (0.8,0.6400000000000001) | 3 | 48 | (150, 109) | 55| 8.799999999999995 | 55 
2021-09-25 16:16:16,785 - INFO - load | 2 | (0.8,0.8) | 3 | 54 | (150, 109) | 55| 0.0 | 55 
2021-09-25 16:16:16,785 - INFO - load | 2 | (1.0,0.0) | 0 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,786 - INFO - load | 2 | (1.0,0.2) | 0 | 3 | (168, 125) | 0| 0.0 | 0 
2021-09-25 16:16:16,787 - INFO - load | 2 | (1.0,0.4) | 0 | 19 | (169, 156) | 0| 0.0 | 0 
2021-09-25 16:16:16,788 - INFO - load | 2 | (1.0,0.6000000000000001) | 0 | 46 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:16:16,788 - INFO - load | 2 | (1.0,0.8) | 0 | 54 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:16:16,789 - INFO - load | 2 | (1.0,1.0) | 0 | 54 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:16:16,792 - INFO - compute | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,792 - INFO - load | 3 | (0.2,0.0) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,793 - INFO - load | 3 | (0.2,0.04000000000000001) | 55 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,793 - INFO - load | 3 | (0.2,0.08000000000000002) | 55 | 0 | set() | 0| 0.0 | 0.0 
