2021-09-17 02:37:34,256 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='4', did='d1', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170237')
2021-09-17 02:37:34,272 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:37:35,293 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:37:56,983 - INFO - compute: budget=4; scheme=(0.5,0.0); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:56,984 - INFO - load: budget=4; scheme=(0.5,0.05); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:56,985 - INFO - load: budget=4; scheme=(0.5,0.1); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:56,988 - INFO - compute: budget=4; scheme=(0.5,0.15000000000000002); tilderR=(35) tilderS=(2); result=({168, 125}, 485); rev=169.75
2021-09-17 02:37:56,992 - INFO - compute: budget=4; scheme=(0.5,0.2); tilderR=(35) tilderS=(3); result=({168, 125, 46}, 839); rev=251.7
2021-09-17 02:37:57,010 - INFO - compute: budget=4; scheme=(0.5,0.25); tilderR=(35) tilderS=(5); result=((46, 149, 23, 125), 1107); rev=276.75
2021-09-17 02:37:57,226 - INFO - compute: budget=4; scheme=(0.5,0.30000000000000004); tilderR=(35) tilderS=(8); result=((46, 47, 49, 149), 1253); rev=250.59999999999994
2021-09-17 02:38:00,113 - INFO - compute: budget=4; scheme=(0.5,0.35000000000000003); tilderR=(35) tilderS=(14); result=((1, 46, 49, 149), 1384); rev=207.59999999999997
2021-09-17 02:38:11,436 - INFO - compute: budget=4; scheme=(0.5,0.4); tilderR=(35) tilderS=(19); result=((1, 49, 149, 150), 1535); rev=153.49999999999997
2021-09-17 02:39:03,449 - INFO - compute: budget=4; scheme=(0.5,0.45); tilderR=(35) tilderS=(27); result=((1, 149, 150, 49), 1535); rev=76.74999999999999
2021-09-17 02:42:35,301 - INFO - compute: budget=4; scheme=(0.5,0.5); tilderR=(35) tilderS=(38); result=((1, 150, 149, 49), 1535); rev=0.0
