did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.5, 1.0)	(183,)	274	164.43787878787873	-137.0	-27.43787878787873
d1	2.0	A	brute	1	(0.5, 1.0)	(65,)	229	141.67239669421488	-114.5	-27.172396694214882
d1	2.0	A	brute	1	(0.5, 1.0)	(67,)	129	82.37094582185492	-64.5	-17.870945821854917
d1	2.0	A	brute	1	(0.5, 1.0)	(196,)	25	16.357079889807167	-12.5	-3.857079889807167
d1	2.0	A	brute	1	(0.5, 1.0)	(197,)	108	70.55708907254365	-54.0	-16.557089072543647
d1	2.0	A	brute	1	(0.5, 1.0)	(71,)	139	81.5079614325069	-69.5	-12.007961432506903
d1	2.0	A	brute	1	(0.5, 1.0)	(72,)	232	138.78057851239666	-116.0	-22.78057851239666
d1	2.0	A	brute	1	(0.5, 1.0)	(73,)	220	141.52052341597795	-110.0	-31.520523415977948
d1	2.0	A	brute	1	(0.5, 1.0)	(74,)	135	86.08442607897155	-67.5	-18.584426078971546
d1	2.0	A	brute	1	(0.5, 1.0)	(76,)	145	92.5190082644628	-72.5	-20.019008264462798
d1	2.0	A	brute	1	(0.5, 1.0)	(204,)	207	132.2873645546373	-103.5	-28.787364554637293
d1	2.0	A	brute	1	(0.5, 1.0)	(77,)	195	125.30384756657486	-97.5	-27.80384756657486
d1	2.0	A	brute	1	(0.5, 1.0)	(207,)	151	97.3330486685032	-75.5	-21.833048668503196
d1	2.0	A	brute	1	(0.5, 1.0)	(80,)	205	131.04638200183655	-102.5	-28.546382001836548
d1	2.0	A	brute	1	(0.5, 1.0)	(206,)	196	123.62479338842975	-98.0	-25.62479338842975
d1	2.0	A	brute	1	(0.5, 1.0)	(86,)	274	174.289898989899	-137.0	-37.289898989899
d1	2.0	A	brute	1	(0.5, 1.0)	(215,)	86	51.34341597796143	-43.0	-8.343415977961428
d1	2.0	A	brute	1	(0.5, 1.0)	(90,)	55	35.83888888888889	-27.5	-8.338888888888889
d1	2.0	A	brute	1	(0.5, 1.0)	(92,)	180	114.46786042240589	-90.0	-24.46786042240589
d1	2.0	A	brute	1	(0.5, 1.0)	(96,)	87	55.03562901744721	-43.5	-11.535629017447206
d1	2.0	A	brute	1	(0.5, 1.0)	(98,)	47	29.903232323232327	-23.5	-6.403232323232327
d1	2.0	A	brute	1	(0.5, 1.0)	(99,)	304	194.08120293847566	-152.0	-42.081202938475656
d1	2.0	A	brute	1	(0.5, 1.0)	(101,)	186	120.34044995408632	-93.0	-27.340449954086324
d1	2.0	A	brute	1	(0.5, 1.0)	(108,)	179	116.2758402203857	-89.5	-26.775840220385703
d1	2.0	A	brute	1	(0.5, 1.0)	(111,)	270	171.02701561065197	-135.0	-36.02701561065197
d1	2.0	A	brute	1	(0.5, 1.0)	(125,)	232	140.75751147842053	-116.0	-24.757511478420525
d1	2.0	A	brute	1	(1.0, 0.0)	(53,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(1,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(141,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(13,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(143,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(19,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(148,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(20,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(169,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(44,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(45,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(174,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(173,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(47,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(50,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(53,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(183,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(65,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(67,)	0	0	0.0	0.0
