did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	h2	3	(0.2, 0.8)	{143, 53, 183}	1930	1320.28	-1158.0	-670.23
d1	1.0	W	h2	3	(0.2, 0.85)	{143, 53, 183}	1930	1320.28	-1254.5	-736.24
d1	1.0	W	h2	3	(0.2, 0.9)	{143, 53, 183}	1930	1320.28	-1351.0	-802.25
d1	1.0	W	h2	3	(0.2, 0.95)	{143, 53, 183}	1930	1320.28	-1447.5	-868.27
d1	1.0	W	h2	3	(0.2, 1.0)	{143, 53, 183}	1930	1320.28	-1544.0	-934.28
d1	1.0	W	h2	3	(0.25, 0.0)	{53}	821	562.28	205.25	205.25
d1	1.0	W	h2	3	(0.25, 0.05)	{53}	821	562.28	164.2	177.14
d1	1.0	W	h2	3	(0.25, 0.1)	{72, 53, 125}	1858	1272.29	278.7	337.27
d1	1.0	W	h2	3	(0.25, 0.15)	{143, 53, 183}	1930	1320.28	193.0	284.46
d1	1.0	W	h2	3	(0.25, 0.2)	{143, 53, 183}	1930	1320.28	96.5	218.44
d1	1.0	W	h2	3	(0.25, 0.25)	{143, 53, 183}	1930	1320.28	0.0	152.43
d1	1.0	W	h2	3	(0.25, 0.3)	{143, 53, 183}	1930	1320.28	-96.5	86.42
d1	1.0	W	h2	3	(0.25, 0.35)	{143, 53, 183}	1930	1320.28	-193.0	20.4
d1	1.0	W	h2	3	(0.25, 0.4)	{143, 53, 183}	1930	1320.28	-289.5	-45.61
d1	1.0	W	h2	3	(0.25, 0.45)	{143, 53, 183}	1930	1320.28	-386.0	-111.63
d1	1.0	W	h2	3	(0.25, 0.5)	{143, 53, 183}	1930	1320.28	-482.5	-177.64
d1	1.0	W	h2	3	(0.25, 0.55)	{143, 53, 183}	1930	1320.28	-579.0	-243.66
d1	1.0	W	h2	3	(0.25, 0.6)	{143, 53, 183}	1930	1320.28	-675.5	-309.67
d1	1.0	W	h2	3	(0.25, 0.65)	{143, 53, 183}	1930	1320.28	-772.0	-375.68
d1	1.0	W	h2	3	(0.25, 0.7)	{143, 53, 183}	1930	1320.28	-868.5	-441.7
d1	1.0	W	h2	3	(0.25, 0.75)	{143, 53, 183}	1930	1320.28	-965.0	-507.71
d1	1.0	W	h2	3	(0.25, 0.8)	{143, 53, 183}	1930	1320.28	-1061.5	-573.73
d1	1.0	W	h2	3	(0.25, 0.85)	{143, 53, 183}	1930	1320.28	-1158.0	-639.74
d1	1.0	W	h2	3	(0.25, 0.9)	{143, 53, 183}	1930	1320.28	-1254.5	-705.75
d1	1.0	W	h2	3	(0.25, 0.95)	{143, 53, 183}	1930	1320.28	-1351.0	-771.77
d1	1.0	W	h2	3	(0.25, 1.0)	{143, 53, 183}	1930	1320.28	-1447.5	-837.78
d1	1.0	W	h2	3	(0.3, 0.0)	{53}	821	562.28	246.3	246.3
d1	1.0	W	h2	3	(0.3, 0.05)	{53}	821	562.28	205.25	218.19
d1	1.0	W	h2	3	(0.3, 0.1)	{72, 53, 125}	1858	1272.29	371.6	430.17
d1	1.0	W	h2	3	(0.3, 0.15)	{143, 53, 183}	1930	1320.28	289.5	380.96
d1	1.0	W	h2	3	(0.3, 0.2)	{143, 53, 183}	1930	1320.28	193.0	314.94
d1	1.0	W	h2	3	(0.3, 0.25)	{143, 53, 183}	1930	1320.28	96.5	248.93
d1	1.0	W	h2	3	(0.3, 0.3)	{143, 53, 183}	1930	1320.28	0.0	182.92
d1	1.0	W	h2	3	(0.3, 0.35)	{143, 53, 183}	1930	1320.28	-96.5	116.9
d1	1.0	W	h2	3	(0.3, 0.4)	{143, 53, 183}	1930	1320.28	-193.0	50.89
d1	1.0	W	h2	3	(0.3, 0.45)	{143, 53, 183}	1930	1320.28	-289.5	-15.13
d1	1.0	W	h2	3	(0.3, 0.5)	{143, 53, 183}	1930	1320.28	-386.0	-81.14
d1	1.0	W	h2	3	(0.3, 0.55)	{143, 53, 183}	1930	1320.28	-482.5	-147.16
d1	1.0	W	h2	3	(0.3, 0.6)	{143, 53, 183}	1930	1320.28	-579.0	-213.17
d1	1.0	W	h2	3	(0.3, 0.65)	{143, 53, 183}	1930	1320.28	-675.5	-279.18
d1	1.0	W	h2	3	(0.3, 0.7)	{143, 53, 183}	1930	1320.28	-772.0	-345.2
d1	1.0	W	h2	3	(0.3, 0.75)	{143, 53, 183}	1930	1320.28	-868.5	-411.21
d1	1.0	W	h2	3	(0.3, 0.8)	{143, 53, 183}	1930	1320.28	-965.0	-477.23
d1	1.0	W	h2	3	(0.3, 0.85)	{143, 53, 183}	1930	1320.28	-1061.5	-543.24
d1	1.0	W	h2	3	(0.3, 0.9)	{143, 53, 183}	1930	1320.28	-1158.0	-609.25
d1	1.0	W	h2	3	(0.3, 0.95)	{143, 53, 183}	1930	1320.28	-1254.5	-675.27
d1	1.0	W	h2	3	(0.3, 1.0)	{143, 53, 183}	1930	1320.28	-1351.0	-741.28
d1	1.0	W	h2	3	(0.35, 0.0)	{53}	821	562.28	287.35	287.35
d1	1.0	W	h2	3	(0.35, 0.05)	{53}	821	562.28	246.3	259.24
d1	1.0	W	h2	3	(0.35, 0.1)	{72, 53, 125}	1858	1272.29	464.5	523.07
d1	1.0	W	h2	3	(0.35, 0.15)	{143, 53, 183}	1930	1320.28	386.0	477.46
d1	1.0	W	h2	3	(0.35, 0.2)	{143, 53, 183}	1930	1320.28	289.5	411.44
d1	1.0	W	h2	3	(0.35, 0.25)	{143, 53, 183}	1930	1320.28	193.0	345.43
