did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.0, 0.6)	(67,)	323	163.09834710743803	-193.79999999999998	-97.85900826446282
d1	2.0	A	brute	1	(0.0, 0.6)	(71,)	422	198.44180899908167	-253.2	-119.065085399449
d1	2.0	A	brute	1	(0.0, 0.6)	(72,)	755	354.3579522497704	-453.0	-212.61477134986222
d1	2.0	A	brute	1	(0.0, 0.6)	(73,)	570	287.52247933884297	-342.0	-172.51348760330578
d1	2.0	A	brute	1	(0.0, 0.6)	(74,)	353	176.80629017447197	-211.79999999999998	-106.08377410468317
d1	2.0	A	brute	1	(0.0, 0.6)	(76,)	378	189.4410101010101	-226.79999999999998	-113.66460606060606
d1	2.0	A	brute	1	(0.0, 0.6)	(204,)	501	254.91444444444448	-300.59999999999997	-152.9486666666667
d1	2.0	A	brute	1	(0.0, 0.6)	(77,)	561	277.25934802571163	-336.59999999999997	-166.35560881542696
d1	2.0	A	brute	1	(0.0, 0.6)	(206,)	457	231.72675849403123	-274.2	-139.03605509641872
d1	2.0	A	brute	1	(0.0, 0.6)	(80,)	610	298.9626446280992	-366.0	-179.37758677685952
d1	2.0	A	brute	1	(0.0, 0.6)	(86,)	634	323.5630853994491	-380.4	-194.13785123966946
d1	2.0	A	brute	1	(0.0, 0.6)	(215,)	243	116.1074563820018	-145.79999999999998	-69.66447382920107
d1	2.0	A	brute	1	(0.0, 0.6)	(92,)	476	237.28033057851238	-285.59999999999997	-142.3681983471074
d1	2.0	A	brute	1	(0.0, 0.6)	(99,)	697	357.1945730027548	-418.2	-214.31674380165288
d1	2.0	A	brute	1	(0.0, 0.6)	(101,)	406	212.29462809917362	-243.6	-127.37677685950416
d1	2.0	A	brute	1	(0.0, 0.6)	(111,)	625	317.8767125803489	-375.0	-190.72602754820934
d1	2.0	A	brute	1	(0.0, 0.6)	(125,)	732	347.4939761248851	-439.2	-208.49638567493105
d1	2.0	A	brute	1	(0.0, 0.65)	(1,)	775	391.4112947658402	-503.75	-254.41734159779614
d1	2.0	A	brute	1	(0.0, 0.65)	(131,)	200	103.18980716253442	-130.0	-67.07337465564737
d1	2.0	A	brute	1	(0.0, 0.65)	(10,)	295	148.16879706152432	-191.75	-96.30971808999081
d1	2.0	A	brute	1	(0.0, 0.65)	(141,)	398	192.37786042240594	-258.7	-125.04560927456387
d1	2.0	A	brute	1	(0.0, 0.65)	(13,)	618	314.84135904499544	-401.7	-204.64688337924704
d1	2.0	A	brute	1	(0.0, 0.65)	(14,)	368	190.32941230486685	-239.20000000000002	-123.71411799816346
d1	2.0	A	brute	1	(0.0, 0.65)	(143,)	959	452.702865013774	-623.35	-294.2568622589531
d1	2.0	A	brute	1	(0.0, 0.65)	(145,)	272	124.85845730027548	-176.8	-81.15799724517906
d1	2.0	A	brute	1	(0.0, 0.65)	(19,)	424	215.73048668503213	-275.6	-140.22481634527088
d1	2.0	A	brute	1	(0.0, 0.65)	(148,)	437	205.83861340679522	-284.05	-133.7950987144169
d1	2.0	A	brute	1	(0.0, 0.65)	(20,)	330	162.35244260789722	-214.5	-105.5290876951332
d1	2.0	A	brute	1	(0.0, 0.65)	(22,)	506	262.1384022038568	-328.90000000000003	-170.38996143250694
d1	2.0	A	brute	1	(0.0, 0.65)	(152,)	309	159.29961432506883	-200.85	-103.54474931129474
d1	2.0	A	brute	1	(0.0, 0.65)	(27,)	610	328.2696877869605	-396.5	-213.37529706152432
d1	2.0	A	brute	1	(0.0, 0.65)	(32,)	424	227.99701561065197	-275.6	-148.19806014692378
d1	2.0	A	brute	1	(0.0, 0.65)	(33,)	413	220.76565656565654	-268.45	-143.49767676767675
d1	2.0	A	brute	1	(0.0, 0.65)	(169,)	616	293.7879063360881	-400.40000000000003	-190.96213911845726
d1	2.0	A	brute	1	(0.0, 0.65)	(41,)	437	235.12540863177236	-284.05	-152.83151561065205
d1	2.0	A	brute	1	(0.0, 0.65)	(44,)	622	307.700707070707	-404.3	-200.00545959595954
d1	2.0	A	brute	1	(0.0, 0.65)	(45,)	650	326.9537465564738	-422.5	-212.51993526170796
d1	2.0	A	brute	1	(0.0, 0.65)	(174,)	432	203.66647382920104	-280.8	-132.38320798898067
d1	2.0	A	brute	1	(0.0, 0.65)	(173,)	649	319.2188613406795	-421.85	-207.4922598714417
d1	2.0	A	brute	1	(0.0, 0.65)	(47,)	536	262.10252525252525	-348.40000000000003	-170.3666414141414
d1	2.0	A	brute	1	(0.0, 0.65)	(50,)	618	300.51211202938487	-401.7	-195.33287281910017
d1	2.0	A	brute	1	(0.0, 0.65)	(53,)	821	390.48921946740137	-533.65	-253.8179926538109
d1	2.0	A	brute	1	(0.0, 0.65)	(183,)	876	413.79738292011024	-569.4	-268.9682988980717
d1	2.0	A	brute	1	(0.0, 0.65)	(65,)	616	301.9291184573002	-400.40000000000003	-196.25392699724515
d1	2.0	A	brute	1	(0.0, 0.65)	(67,)	323	163.09834710743803	-209.95000000000002	-106.01392561983472
d1	2.0	A	brute	1	(0.0, 0.65)	(197,)	215	115.56866850321396	-139.75	-75.11963452708908
d1	2.0	A	brute	1	(0.0, 0.65)	(71,)	422	198.44180899908167	-274.3	-128.9871758494031
d1	2.0	A	brute	1	(0.0, 0.65)	(72,)	755	354.3579522497704	-490.75	-230.33266896235077
d1	2.0	A	brute	1	(0.0, 0.65)	(73,)	570	287.52247933884297	-370.5	-186.88961157024795
d1	2.0	A	brute	1	(0.0, 0.65)	(74,)	353	176.80629017447197	-229.45000000000002	-114.92408861340678
d1	2.0	A	brute	1	(0.0, 0.65)	(76,)	378	189.4410101010101	-245.70000000000002	-123.13665656565658
d1	2.0	A	brute	1	(0.0, 0.65)	(204,)	501	254.91444444444448	-325.65000000000003	-165.6943888888889
d1	2.0	A	brute	1	(0.0, 0.65)	(77,)	561	277.25934802571163	-364.65000000000003	-180.21857621671256
d1	2.0	A	brute	1	(0.0, 0.65)	(207,)	322	169.10622589531675	-209.3	-109.9190468319559
d1	2.0	A	brute	1	(0.0, 0.65)	(80,)	610	298.9626446280992	-396.5	-194.32571900826449
d1	2.0	A	brute	1	(0.0, 0.65)	(206,)	457	231.72675849403123	-297.05	-150.6223930211203
d1	2.0	A	brute	1	(0.0, 0.65)	(86,)	634	323.5630853994491	-412.1	-210.31600550964194
d1	2.0	A	brute	1	(0.0, 0.65)	(215,)	243	116.1074563820018	-157.95000000000002	-75.46984664830117
d1	2.0	A	brute	1	(0.0, 0.65)	(92,)	476	237.28033057851238	-309.40000000000003	-154.23221487603305
d1	2.0	A	brute	1	(0.0, 0.65)	(96,)	200	101.7022865013774	-130.0	-66.10648622589531
